#Insert size (bp)	insert size
3.0	1.0
4.0	1.0
10.0	1.0
12.0	1.0
18.0	1.0
21.0	4.0
22.0	2.0
23.0	2.0
24.0	1.0
26.0	1.0
27.0	2.0
29.0	1.0
30.0	1.0
31.0	1.0
32.0	3.0
35.0	257.0
36.0	378.0
37.0	366.0
38.0	385.0
39.0	364.0
40.0	391.0
41.0	384.0
42.0	440.0
43.0	483.0
44.0	523.0
45.0	576.0
46.0	608.0
47.0	511.0
48.0	523.0
49.0	492.0
50.0	477.0
51.0	487.0
52.0	502.0
53.0	503.0
54.0	575.0
55.0	596.0
56.0	604.0
57.0	622.0
58.0	608.0
59.0	593.0
60.0	582.0
61.0	528.0
62.0	518.0
63.0	585.0
64.0	587.0
65.0	644.0
66.0	699.0
67.0	695.0
68.0	707.0
69.0	706.0
70.0	616.0
71.0	660.0
72.0	648.0
73.0	629.0
74.0	659.0
75.0	704.0
76.0	777.0
77.0	707.0
78.0	758.0
79.0	755.0
80.0	724.0
81.0	703.0
82.0	694.0
83.0	713.0
84.0	738.0
85.0	722.0
86.0	805.0
87.0	756.0
88.0	785.0
89.0	816.0
90.0	798.0
91.0	769.0
92.0	727.0
93.0	806.0
94.0	809.0
95.0	810.0
96.0	802.0
97.0	849.0
98.0	827.0
99.0	824.0
100.0	824.0
101.0	814.0
102.0	782.0
103.0	814.0
104.0	840.0
105.0	837.0
106.0	805.0
107.0	840.0
108.0	853.0
109.0	835.0
110.0	853.0
111.0	795.0
112.0	844.0
113.0	875.0
114.0	853.0
115.0	807.0
116.0	867.0
117.0	871.0
118.0	922.0
119.0	948.0
120.0	895.0
121.0	872.0
122.0	869.0
123.0	883.0
124.0	821.0
125.0	903.0
126.0	808.0
127.0	835.0
128.0	893.0
129.0	896.0
130.0	868.0
131.0	872.0
132.0	902.0
133.0	847.0
134.0	901.0
135.0	874.0
136.0	854.0
137.0	858.0
138.0	879.0
139.0	891.0
140.0	879.0
141.0	884.0
142.0	890.0
143.0	831.0
144.0	899.0
145.0	894.0
146.0	855.0
147.0	932.0
148.0	927.0
149.0	870.0
150.0	879.0
151.0	919.0
152.0	843.0
153.0	895.0
154.0	866.0
155.0	865.0
156.0	866.0
157.0	848.0
158.0	834.0
159.0	845.0
160.0	853.0
161.0	866.0
162.0	866.0
163.0	877.0
164.0	878.0
165.0	885.0
166.0	819.0
167.0	826.0
168.0	829.0
169.0	825.0
170.0	848.0
171.0	837.0
172.0	786.0
173.0	816.0
174.0	832.0
175.0	806.0
176.0	769.0
177.0	871.0
178.0	777.0
179.0	865.0
180.0	814.0
181.0	875.0
182.0	767.0
183.0	818.0
184.0	865.0
185.0	827.0
186.0	789.0
187.0	856.0
188.0	775.0
189.0	737.0
190.0	830.0
191.0	789.0
192.0	811.0
193.0	745.0
194.0	725.0
195.0	782.0
196.0	775.0
197.0	758.0
198.0	782.0
199.0	787.0
200.0	829.0
201.0	813.0
202.0	771.0
203.0	794.0
204.0	736.0
205.0	752.0
206.0	756.0
207.0	781.0
208.0	733.0
209.0	743.0
210.0	766.0
211.0	709.0
212.0	759.0
213.0	680.0
214.0	720.0
215.0	740.0
216.0	711.0
217.0	706.0
218.0	711.0
219.0	730.0
220.0	731.0
221.0	660.0
222.0	703.0
223.0	690.0
224.0	686.0
225.0	716.0
226.0	691.0
227.0	702.0
228.0	672.0
229.0	595.0
230.0	666.0
231.0	721.0
232.0	658.0
233.0	720.0
234.0	657.0
235.0	684.0
236.0	667.0
237.0	645.0
238.0	681.0
239.0	736.0
240.0	669.0
241.0	683.0
242.0	684.0
243.0	656.0
244.0	670.0
245.0	656.0
246.0	658.0
247.0	625.0
248.0	623.0
249.0	606.0
250.0	643.0
251.0	629.0
252.0	611.0
253.0	605.0
254.0	604.0
255.0	633.0
256.0	591.0
257.0	606.0
258.0	644.0
259.0	624.0
260.0	592.0
261.0	611.0
262.0	609.0
263.0	609.0
264.0	556.0
265.0	579.0
266.0	597.0
267.0	596.0
268.0	611.0
269.0	596.0
270.0	572.0
271.0	581.0
272.0	544.0
273.0	570.0
274.0	578.0
275.0	560.0
276.0	576.0
277.0	587.0
278.0	583.0
279.0	531.0
280.0	551.0
281.0	556.0
282.0	530.0
283.0	557.0
284.0	584.0
285.0	510.0
286.0	503.0
287.0	498.0
288.0	517.0
289.0	520.0
290.0	565.0
291.0	541.0
292.0	486.0
293.0	530.0
294.0	521.0
295.0	487.0
296.0	512.0
297.0	533.0
298.0	502.0
299.0	544.0
300.0	485.0
301.0	497.0
302.0	476.0
303.0	499.0
304.0	514.0
305.0	483.0
306.0	483.0
307.0	502.0
308.0	485.0
309.0	512.0
310.0	483.0
311.0	449.0
312.0	456.0
313.0	457.0
314.0	469.0
315.0	437.0
316.0	417.0
317.0	465.0
318.0	428.0
319.0	471.0
320.0	462.0
321.0	475.0
322.0	451.0
323.0	435.0
324.0	402.0
325.0	422.0
326.0	434.0
327.0	431.0
328.0	450.0
329.0	431.0
330.0	451.0
331.0	436.0
332.0	443.0
333.0	419.0
334.0	452.0
335.0	413.0
