#Mapping quality	mapping quality
0.0	1305.0
1.0	149.0
2.0	65.0
4.0	19.0
6.0	25.0
7.0	52.0
8.0	979.0
9.0	61.0
10.0	92.0
11.0	77.0
12.0	25.0
13.0	59.0
14.0	60.0
15.0	56.0
16.0	126.0
17.0	196.0
18.0	195.0
19.0	100.0
20.0	189.0
21.0	279.0
22.0	198.0
23.0	320.0
24.0	238.0
25.0	197.0
26.0	490.0
27.0	296.0
28.0	282.0
29.0	327.0
30.0	359.0
31.0	427.0
32.0	523.0
33.0	479.0
34.0	329.0
35.0	485.0
36.0	435.0
37.0	518.0
38.0	347.0
39.0	572.0
40.0	797.0
41.0	420.0
42.0	644.0
43.0	728.0
44.0	554.0
45.0	1048.0
46.0	939.0
47.0	1040.0
48.0	1545.0
49.0	1234.0
50.0	1909.0
51.0	1884.0
52.0	2003.0
53.0	2614.0
54.0	2590.0
55.0	3412.0
56.0	4523.0
57.0	6062.0
58.0	17258.0
59.0	35806.0
60.0	4457454.0
